status,title,doi,authors,year,code,website,keywords,projects,selected
publish,Multi-scale texture loss for CT denoising with GANs,10.1016/j.aiopen.2025.09.001,Francesco Di Feola; Lorenzo Tronchin; Valerio Guarrasi; Paolo Soda,2025,https://github.com/FrancescoDiFeola/DenoTextureLoss,,generative AI; radiomics,,FALSE
publish,Machine Learning for Predicting the Low Risk of Postoperative Pancreatic Fistula After Pancreaticoduodenectomy: Toward a Dynamic and Personalized Postoperative Management Strategy,10.3390/cancers17111846,Roberto Cammarata; Filippo Ruffini; Alberto Catamerò; Gennaro Melone; Gianluca Costa; Silvia Angeletti; Federico Seghetti; Vincenzo La Vaccara; Roberto Coppola; Paolo Soda; Valerio Guarrasi; Damiano Caputo,2025,,,clinical prediction; oncology,,FALSE
publish,MARIA: A multimodal transformer model for incomplete healthcare data,10.1016/j.compbiomed.2025.110843,Camillo Maria Caruso; Paolo Soda; Valerio Guarrasi,2025,https://github.com/cosbidev/MARIA,,multimodal learning; foundation models; clinical prediction,clinical-risk-stratification,TRUE
publish,"Long-term outcomes from pembrolizumab monotherapy in patients with advanced NSCLC, PD-L1 expression ≥ 50 %, and poor performance status: Transformer-based AI to characterize prognostic complexity",10.1016/j.lungcan.2025.108799,Alessio Cortellini; Edoardo Garbo; Giulia La Cava; Fabrizio Citarella; Valentina Santo; Leonardo Brunetti; David J. Pinato; Jarushka Naidoo; Monica Loza; Carlo Genova; Scott Gettinger; So Yeon Kim; Ritujith Jayakrishnan; Talal El Zarif; Marco Russano; Federica Pecci; Alessandro Di Federico; Michele Montrone; Dwight H. Owen; Diego Signorelli; Mingjia Li; Andrea Camerini; Balázs Halmos; Bruno Vincenzi; Giulio Metro; Sai Yendamuri; Francesco Grossi; Eleni Josephides; Bartłomiej Tomasik; Raffaele Giusti; Emilio Bria; Martin Sebastian; Maximilian Rost; Fabian Acker; Lorenza Landi; Francesca Mazzoni; Alessandro Morabito; Alessandro Leonetti; Luca Cantini; Giannis Mountzios; Sukumar Kalvapudi; David O’Reilly; Eleni Karapanagiotou; Isabelle Monnet; Javier Baena; Marianna Macerelli; Margarita Majem; Aida Piedra; Diego Cortinovis; Giuseppe Tonini; Gabriele Minuti; Laura Mezquita; Teresa Gorría; Teresa Beninato; Giuseppe Lo Russo; Arsela Prelaj; Andrea De Giglio; Federica Biello; Frank Aboubakar Nana; Anne‐Marie C. Dingemans; Joachim G.J.V. Aerts; Roberto Ferrara; Taher Abu Hejleh; Kazuki Takada; Abdul Rafeh Naqash; Marina Chiara Garassino; Heather A. Wakelee; Amin H. Nassar; Biagio Ricciuti; Paolo Soda; Camillo Maria Caruso; Valerio Guarrasi,2025,,,,,FALSE
publish,Leveraging Key-Points Encoded Human Pose Images for Human Activity Recognition,10.1007/978-3-031-91575-8_6,Gaia Virginia Dobici; Luca Minutillo; Ermanno Cordelli; Francesco Chirico; Goffredo Foglia; Paolo Soda,2025,,,,,FALSE
publish,Lesion-Aware Generative Artificial Intelligence for Virtual Contrast-Enhanced Mammography in Breast Cancer,10.1109/cbms65348.2025.00039,"Aurora Rofena; Manchia, Arianna; Claudia Lucia Piccolo; Bruno Beomonte Zobel; Paolo Soda; Valerio Guarrasi",2025,,https://doi.org/10.1109/cbms65348.2025.00039,radiomics; oncology; generative AI,,FALSE
publish,LatentAugment: Data Augmentation via Guided Manipulation of GAN’s Latent Space,10.1109/tpami.2025.3598866,Lorenzo Tronchin; Minh H. Vu; Paolo Soda; Tommy Löfstedt,2025,https://github.com/ltronchin/LatentAugment,,generative AI; multimodal learning,,TRUE
publish,Identifying Cardiogenic Shock Sub-Phenotypes with Machine Learning: A Multicenter Study Combining Clinical and Echocardiographic Data,10.1016/j.jacadv.2025.102257,Nicolò Ghionzoli; Andrea Stefanini; Géza Hálasz; Carlotta Sorini Dini; Arianna Francesconi; Carlotta Sciaccaluga; Francesca Maria Righini; Valerio Guarrasi; Paolo Soda; Maria Concetta Pastore; Elvira Delcuratolo; Hatem Soliman-Aboumarie; V Di Piazza; Marco Marini; Domenico Gabrielli; Matteo Cameli; Serafina Valente,2025,,,,,FALSE
publish,Hybrid 3D CNN-MAMBA for Emphysema Classification in the SCAPIS Cohort,10.1109/cbms65348.2025.00141,Francesco Di Feola; Marida De Maria; Göran Bergström; Anders Blomberg; Åse A. Johnsson; Pierangelo Veltri; Paolo Soda,2025,,https://doi.org/10.1109/cbms65348.2025.00141,oncology; multimodal learning; clinical prediction,,FALSE
publish,Hierarchical embedding attention for overall survival prediction in lung cancer from unstructured EHRs,10.1186/s12911-025-02998-6,Domenico Paolo; Carlo Greco; Alessio Cortellini; Sara Ramella; Paolo Soda; Alessandro Bria; Rosa Sicilia,2025,,,oncology; foundation models; generative AI,,FALSE
publish,Generative models enable longitudinal synthetic electronic health records for privacy preserving research within cardiovascular disease prevention and digital twins,10.1093/eurjpc/zwaf236.505,Amanda Bertgren; Fredrik Öhberg; Paolo Soda; Ulf Näslund; Patrik Wennberg; Christer Grönlund,2025,,,,,FALSE
publish,Generative Adversarial Networks for Synthetic Longitudinal Electronic Health Records Enabling Cardiovascular Digital Twins,10.1109/cbms65348.2025.00015,Amanda Bertgren; Fredrik Öhberg; Paolo Soda; Ulf Näslund; Patrik Wennberg; Christer Grönlund,2025,,https://doi.org/10.1109/cbms65348.2025.00015,generative AI; medical imaging,,FALSE
publish,Evaluating Vision Language Model Adaptations for Radiology Report Generation in Low-Resource Languages,10.1109/ijcnn64981.2025.11227552,Marco Salmè; Rosa Sicilia; Paolo Soda; Valerio Guarrasi,2025,,,foundation models; medical imaging,,FALSE
publish,Enhancing NSCLC Histological Subtype Classification: A Federated Learning Approach Using Triplet Loss,10.1007/978-3-031-87660-8_12,Fatih Aksu; Ermanno Cordelli; Fabrizia Gelardi; Arturo Chiti; Paolo Soda,2025,,https://doi.org/10.1007/978-3-031-87660-8_12,radiomics; oncology; medical imaging,,FALSE
publish,"Doctor-in-the-Loop: An explainable, multi-view deep learning framework for predicting pathological response in non-small cell lung cancer",10.1016/j.imavis.2025.105630,Alice Natalina Caragliano; Filippo Ruffini; Carlo Greco; Edy Ippolito; Michele Fiore; Claudia Tacconi; Lorenzo Nibid; Giuseppe Perrone; Sara Ramella; Paolo Soda; Valerio Guarrasi,2025,,,explainability; oncology; medical imaging,multimodal-virtual-biopsy; clinical-risk-stratification,TRUE
publish,Deep learning for human locomotion analysis in lower-limb exoskeletons: a comparative study,10.3389/fcomp.2025.1597143,Omar Coser; Christian Tamantini; Matteo Tortora; Leonardo Furia; Rosa Sicilia; Loredana Zollo; Paolo Soda,2025,,,explainability; medical imaging,,FALSE
publish,Context-Gated Cross-Modal Perception with Visual Mamba for PET-CT Lung Tumor Segmentation,10.48550/arxiv.2510.27508,Elena Mulero Ayllón; Linlin Shen; Pierangelo Veltri; Fabrizia Gelardi; Arturo Chiti; Paolo Soda; Matteo Tortora,2025,,,,,FALSE
publish,Class balancing diversity multimodal ensemble for Alzheimer’s disease diagnosis and early detection,10.1016/j.compmedimag.2025.102529,"Francesconi, Arianna; Lazzaro di Biase; Donato Cappetta; Rebecchi, Fabio; Paolo Soda; Rosa Sicilia; Valerio Guarrasi",2025,,,clinical prediction; multimodal learning,,FALSE
publish,Can Foundation Models Really Segment Tumors? A Benchmarking Odyssey in Lung CT Imaging,10.1109/cbms65348.2025.00083,Elena Mulero Ayllón; Massimiliano Mantegna; Linlin Shen; Paolo Soda; Valerio Guarrasi; Matteo Tortora,2025,,,foundation models; medical imaging,explainable-brain-mri; neuroimaging-foundation-benchmark,FALSE
